,left sensor,right sensor,left motor,right motor
610,119,278,30,60
611,114,269,30,60
612,122,264,31,59
613,118,238,33,57
614,121,245,33,57
615,120,253,32,58
616,120,237,34,56
617,115,240,33,57
618,111,243,32,58
619,116,229,34,56
620,118,234,34,56
621,108,230,33,57
622,114,228,34,56
623,126,253,33,57
624,140,248,35,55
625,126,256,32,58
626,131,264,32,58
627,132,279,31,59
628,137,290,30,60
629,130,307,28,62
630,123,284,29,61
631,128,285,30,60
632,134,290,30,60
633,119,275,30,60
634,134,218,37,53
635,122,194,38,52
636,122,178,40,50
637,139,154,44,46
638,134,139,45,45
639,168,131,48,42
640,175,122,50,40
641,196,142,50,40
642,212,128,53,37
643,166,129,48,42
644,184,143,49,41
645,159,131,47,43
646,156,151,45,45
647,132,162,42,48
648,141,182,41,49
649,135,183,41,49
650,137,198,39,51
651,160,184,43,47
652,124,203,38,52
653,120,195,38,52
654,117,180,39,51
655,123,186,39,51
656,144,176,42,48
657,148,181,42,48
658,154,177,43,47
659,132,154,43,47
660,134,155,43,47
661,152,147,45,45
662,145,146,45,45
663,141,154,44,46
664,132,153,43,47
665,136,203,39,51
666,142,206,39,51
667,132,220,37,53
668,129,233,35,55
669,156,246,36,54
670,138,250,34,56
671,150,240,36,54
672,134,257,33,57
673,138,244,35,55
674,135,232,36,54
675,141,239,36,54
676,158,218,39,51
677,143,205,39,51
678,146,214,39,51
679,152,208,40,50
680,152,203,40,50
681,140,184,41,49
682,140,166,43,47
683,142,153,44,46
684,146,154,45,45
685,171,162,45,45
686,168,164,45,45
687,149,164,44,46
688,162,174,44,46
689,153,183,42,48
690,144,191,41,49
691,145,207,39,51
692,146,192,41,49
693,149,193,41,49
694,137,164,43,47
695,135,159,43,47
696,137,161,43,47
697,141,152,44,46
698,146,145,45,45
699,159,155,45,45
700,163,152,46,44
701,166,151,46,44
702,179,149,48,42
703,180,154,47,43
704,195,156,48,42
705,182,146,48,42
706,180,157,47,43
707,177,150,47,43
708,163,163,45,45
709,181,144,48,42
710,156,161,45,45
711,164,156,45,45
712,140,146,45,45
713,144,154,44,46
714,152,148,45,45
715,145,158,44,46
716,133,150,44,46
717,140,170,42,48
718,125,169,41,49
719,115,174,40,50
720,132,181,41,49
721,135,202,39,51
722,130,209,38,52
723,114,207,36,54
724,121,234,34,56
725,132,246,34,56
726,129,243,34,56
727,142,260,34,56
728,141,274,32,58
729,135,247,34,56
